L1;L2;L3;L4;T1;T2;T3;T4;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;R1;R2;R3;R4;R5;R6;I1;I2;I3;I4;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;B4;B5;B6
1,855297088;0,494782153;0,119244923;1,342490867;7,863328922;2,378773698;1,561300195;17,76964931;10,70132325;0,91453958;0,065565903;0,656362254;0,302584814;0,093446388;0,248693344;-0,393345785;-3,021016346;1038,5616;5700000;39922000;0,08546042;2,710659424;10,70132325;0,041838009;0,011094067;0,013867584;0,114222734;0,158456577;0,040157883;0;0;0;1,2;117680,8919;111,4;105,9;107,2;109,2;5,2;6;387,4626729;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
2,195105683;1,759928126;0,225398382;0,427487413;3,939041567;2,90197327;0,874599856;1,742048111;1,073411323;0,517703029;0,356661852;0,284450095;0,154866313;0,931609327;0,674022828;-0,82001356;-0,483629276;2,646977159;400395;1495505;0,482296971;1,944814668;1,073411323;0,239515189;0,068564851;0,141244687;0,129966132;0,166585869;0,165310763;0;0;0;0,028571429;117680,8919;111,4;105,9;107,2;109,2;5,2;6;8428,273678;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,545856959;0,501225788;0,004404984;0,043047732;2,400745434;2,093566219;0,643055396;1,38193932;1,642197707;0,621527186;0,372152109;0,317697793;-0,264318774;0,608940078;0,554699676;-0,956347197;-0,802777327;8,360004271;548015;1689106;0,378472814;15,55505851;1,642197707;0,338181801;0,153440476;0,175862674;0,283075189;0,285632163;0,252717382;0;0;0;1;117680,8919;111,4;105,9;107,2;109,2;5,2;6;371,9239456;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
2,075219061;1,738612677;0,06091253;0,311520497;2,934116765;2,36052118;2,075483703;5,6667285;1,50621703;0,600992257;0,398983433;0,8712841;0,451432473;0,663914947;3,099910288;0,310222398;0,677410019;28,47082768;62949;196959;0,399007743;2,584488761;1,50621703;0,089605678;0,10484291;0,135772313;0,246797557;0,308378901;0,051203924;0;0;0;0,181818182;117680,8919;111,4;105,9;107,2;109,2;5,2;6;85,08877767;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,32785003;0,203118219;0,007088528;0,121242561;3,587562638;1,706057665;0,985939979;-2,504438924;-2,511513638;1,661588473;-0,661605264;0,540359968;-1,107832552;-0,398166263;-1,439362168;-2,074965896;1,694752177;-144,2573372;-403055;-394011;-0,661588473;21,47882758;-2,511513638;0,551538094;-0,629384824;-0,724629083;0,888498037;1,030044846;0,118537132;0;0;0;0;117680,8919;111,4;105,9;107,2;109,2;5,2;6;3206,908034;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,700584884;0,278257717;0,042754658;0,392081803;6,769697763;2,163431842;1,743472163;-10,07322001;-7,975984969;1,143348933;-0,143369975;0,801012979;-0,342335954;-0,125376365;-0,72039338;-0,427378785;2,388130468;1,083564667;30446000;-68124000;-0,143348933;9,340641268;-7,975984969;0,192926391;0,005864407;0,076042474;-0,034466561;-0,034466561;0,013444519;0;0;0;5,4;117680,8919;111,4;105,9;107,2;109,2;5,2;6;387,4626729;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,930858962;0,312717235;0,001487258;0,614795396;10,07550103;3,61624643;2,649539053;19,61354229;8,426519233;0,893916304;0,003667462;0,79317038;-0,058913998;0,118672962;0,512903789;-0,127016751;-0,949683395;1,185918669;33654;52905;0,106083696;4,947799535;8,426519233;0,043303308;0,001843273;0,086518142;0,013552594;0,099725924;0,022334064;0;0;0;1,285714286;117680,8919;111,4;105,9;107,2;109,2;5,2;6;387,4626729;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,970405209;0,086490357;0,000843546;0,883914853;7,085649262;0,6925268;0,192286463;0,254215711;0,381454646;0,276125349;-0,211790537;0,244737032;-0,007463832;2,621543639;0,958440546;-0,128253238;-0,043361536;-15,99341345;-512349;1883976;0,723874651;13,98245759;0,381454646;-0,17289543;-0,194526419;-0,180815998;-0,292571668;-0,291423784;-0,209036966;1;0;0;8,6;117680,8919;111,4;105,9;107,2;109,2;5,2;6;371,9239456;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;2;1;1
1,45073058;0,81210546;0,058882314;0,6364085;4,085596685;1,923924359;1,121327115;2,673667858;1,844942064;0,648498993;0,273848243;0,61717021;0,19174993;0,54202244;0,918165242;-0,050761983;-0,089128574;-4,105646228;-37230000;201057000;0,351501007;4,954360738;1,844942064;0,194213719;-0,073311006;-0,070924012;-0,191403433;-0,230439197;0,12972804;0;0;0;0,043478261;117680,8919;111,4;105,9;107,2;109,2;5,2;6;1598,927743;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
1,005995015;0,987448269;0,021509555;0,01345878;4,123590742;3,923307429;3,919065116;545,0662581;145,0557793;0,993153301;0,006838591;0,99910727;0,005953969;0,0068939;7,669391462;0,005959289;0,869611559;1,477234962;13335;8444;0,006846699;3,442604106;145,0557793;0,176838127;0,001121699;0,012240469;0,144718143;0,510184747;0,043648864;0;0;0;0,692307692;117680,8919;111,4;105,9;107,2;109,2;5,2;6;44,2318531;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,542054519;0,141421447;0,002823406;0,317982642;25,42907263;5,758521531;0,70792083;0,982401023;0,375681159;0,273087377;0,699136809;0,124130815;-0,104869794;2,661831654;0,829932866;-1,19999665;-0,204916736;25,48619718;180952;1048948;0,726912623;4,082855078;0,375681159;0,582287287;0,097203378;0,131893202;0,12713595;0,165739388;0,222677655;0;0;0;1,545454545;117680,8919;111,4;105,9;107,2;109,2;5,2;6;8128,817064;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
